,ivtU_max,ivtU_mean,ivtV_max,ivtV_mean,rain,year
2004-11-24,-43.6935998886,-36.6292871677,124.879470459,66.435696511,2.4,2004
2004-11-30,276.738748085,160.987014018,-185.21813536,-30.7124529796,2.8,2004
2004-12-01,394.000271478,330.814018686,-247.15467119,-224.751945548,8.6,2004
2004-12-23,366.035941038,173.441788135,-189.18111986,-63.412928263,10.4,2004
2005-03-06,145.860324553,98.3686096513,-5.50403703916,28.7981601151,11.6,2005
2005-03-15,326.970190558,213.208829265,-410.532343619,-297.985179812,3.0,2005
2005-03-19,447.647523028,262.677287543,126.324337382,143.866669827,6.8,2005
2005-04-06,142.423699617,65.556186783,35.6242993219,30.3513938177,7.0,2005
2005-04-10,122.08391369,56.879731821,105.587904283,108.986815469,1.8,2005
2005-05-02,126.9875131,95.9061070471,-302.658617589,-198.388606264,4.8,2005
2005-05-03,41.8357442598,94.0551881955,-671.983840812,-454.523292669,43.2,2005
2005-05-07,163.505687635,77.144141554,-147.14328305,-31.7194447912,13.8,2005
2005-05-08,251.602629167,150.626616615,-208.97790163,-128.060876161,8.0,2005
2005-05-09,735.783384999,364.849503105,-304.745303359,-148.413768366,24.2,2005
2005-05-11,200.044881418,141.307184763,-74.2965580348,-15.4297102343,25.8,2005
2005-05-12,415.824518999,284.650787981,-114.413889481,-93.6293086777,14.8,2005
2005-05-16,246.312158869,138.298747675,-245.745726615,-127.269595717,33.0,2005
2005-05-17,309.166883313,285.660594725,-227.065188897,-161.816133918,23.3,2005
2005-05-18,354.049494061,210.203146315,-385.743964828,-96.0007270102,9.4,2005
2005-05-19,226.911312684,168.422224944,66.1284511227,20.8732839149,1.2,2005
2005-05-20,138.701941065,86.3714469811,42.7593252547,46.9532992212,3.2,2005
2005-05-22,214.407351948,138.964588107,-240.388161056,-75.816094521,40.8,2005
2005-05-23,351.041164377,281.454015204,-587.009433693,-347.271699292,7.4,2005
2005-05-25,341.393728001,150.123019211,-218.889473428,-75.644655561,56.4,2005
2005-05-26,549.764573192,207.492107641,-157.354715545,-84.1533886252,1.4,2005
2005-05-27,317.529550834,242.133040217,-236.893654889,-119.062023653,29.4,2005
2005-05-28,630.603507493,497.091065969,-438.753547542,-390.39677482,11.2,2005
2005-05-31,222.113122687,178.951946368,-44.5168133348,-40.6862929541,4.8,2005
2005-06-01,400.583862712,246.578871823,-174.599279409,-110.054030903,1.2,2005
2005-06-03,184.840652966,106.282774388,-14.2433192916,-36.0457523782,2.4,2005
2005-06-04,168.404337967,133.430646561,-89.9499383617,-75.6656084866,4.0,2005
2005-06-06,471.194583887,180.487848059,-236.892801332,-95.1188945996,59.0,2005
2005-06-08,333.390362043,96.7996406413,-60.9618322472,19.4796588393,2.4,2005
2005-06-09,580.466954032,252.975271979,-389.390711724,-110.721863985,23.4,2005
2005-06-11,109.175212651,67.814624227,-7.09397255437,3.25202720314,3.4,2005
